ID      mean   std    th
466880 0.041 0.042 0.168
466900 0.072 0.094 0.355
466910 0.141 0.040 0.261
466920 0.050 0.027 0.131
466930 0.051 0.028 0.136
466940 0.159 0.116 0.508
466950 0.084 0.027 0.164
466990 0.097 0.036 0.204
467050 0.124 0.042 0.250
467060 0.125 0.078 0.358
467080 0.091 0.023 0.160
467110 0.097 0.028 0.182
467270 0.092 0.032 0.188
467300 0.076 0.032 0.173
467350 0.095 0.020 0.156
467410 0.112 0.021 0.174
467420 0.131 0.060 0.310
467440 0.125 0.052 0.281
467480 0.136 0.100 0.437
467490 0.067 0.023 0.137
467530 0.043 0.033 0.143
467540 0.074 0.021 0.136
467550 0.070 0.062 0.257
467571 0.138 0.030 0.227
467590 0.068 0.018 0.123
467610 0.077 0.038 0.191
467620 0.038 0.012 0.075
467650 0.134 0.022 0.199
467660 0.070 0.029 0.156
467770 0.070 0.036 0.177
467990 0.112 0.050 0.262
468100 0.159 0.022 0.224
469020 0.017 0.037 0.127
C0A520 0.103 0.024 0.175
C0A530 0.086 0.020 0.147
C0A540 0.130 0.039 0.246
C0A550 0.083 0.032 0.178
C0A560 0.061 0.062 0.248
C0A570 0.059 0.021 0.123
C0A640 0.064 0.043 0.194
C0A650 0.045 0.038 0.160
C0A770 0.031 0.043 0.160
C0A860 0.025 0.024 0.098
C0A870 0.051 0.042 0.177
C0A880 0.119 0.110 0.449
C0A890 0.125 0.067 0.326
C0A920 0.091 0.052 0.246
C0A930 0.064 0.033 0.162
C0A940 0.134 0.093 0.413
C0A950 0.024 0.025 0.098
C0A970 0.089 0.023 0.157
C0A980 0.069 0.051 0.224
C0A9C0 0.145 0.055 0.310
C0A9F0 0.122 0.063 0.312
C0AC40 0.070 0.042 0.195
C0AC60 0.163 0.072 0.378
C0AC70 0.119 0.082 0.366
C0AC80 0.032 0.026 0.110
C0ACA0 0.097 0.051 0.249
C0AD00 0.095 0.028 0.180
C0AD10 0.124 0.033 0.223
C0AD30 0.088 0.048 0.232
C0AD40 0.107 0.032 0.203
C0AD50 0.126 0.056 0.295
C0AG80 0.038 0.062 0.224
C0AH00 0.025 0.020 0.086
C0AH10 0.157 0.052 0.313
C0AH30 0.159 0.060 0.340
C0AH40 0.111 0.056 0.280
C0AH50 0.183 0.100 0.483
C0AH70 0.065 0.038 0.180
C0AH80 0.122 0.089 0.389
C0AH90 0.096 0.108 0.421
C0AI00 0.151 0.052 0.306
C0AI10 0.038 0.041 0.161
C0AI20 0.052 0.033 0.151
C0AI30 0.084 0.037 0.195
C0AI40 0.022 0.020 0.082
C0B010 0.066 0.034 0.169
C0B020 0.105 0.032 0.201
C0C460 0.106 0.083 0.353
C0C480 0.058 0.030 0.147
C0C490 0.088 0.127 0.470
C0C540 0.101 0.025 0.175
C0C590 0.131 0.025 0.206
C0C620 0.191 0.048 0.335
C0C630 0.048 0.043 0.176
C0C650 0.145 0.126 0.523
C0C660 0.124 0.023 0.193
C0C670 0.073 0.041 0.196
C0C680 0.055 0.035 0.159
C0C690 0.098 0.027 0.180
C0C700 0.098 0.039 0.214
C0C710 0.121 0.050 0.272
C0D360 0.125 0.134 0.527
C0D390 0.066 0.032 0.162
C0D430 0.113 0.033 0.213
C0D540 0.190 0.057 0.361
C0D550 0.047 0.037 0.159
C0D560 0.196 0.058 0.371
C0D580 0.061 0.055 0.226
C0D590 0.104 0.036 0.212
C0D650 0.092 0.024 0.163
C0D660 0.113 0.034 0.215
C0E420 0.092 0.075 0.318
C0E430 0.053 0.019 0.109
C0E520 0.120 0.057 0.290
C0E540 0.112 0.041 0.236
C0E550 0.117 0.056 0.286
C0E590 0.129 0.045 0.264
C0E610 0.031 0.048 0.174
C0E730 0.079 0.043 0.207
C0E740 0.079 0.056 0.248
C0E750 0.025 0.019 0.083
C0E780 0.080 0.051 0.234
C0E790 0.134 0.078 0.367
C0E810 0.059 0.036 0.166
C0E820 0.095 0.033 0.194
C0E830 0.114 0.044 0.247
C0E850 0.133 0.014 0.175
C0E860 0.128 0.050 0.277
C0E870 0.056 0.028 0.140
C0E880 0.084 0.028 0.169
C0F000 0.112 0.060 0.292
C0F0A0 0.049 0.045 0.185
C0F0B0 0.151 0.041 0.274
C0F0C0 0.084 0.130 0.474
C0F0D0 0.103 0.059 0.280
C0F0E0 0.044 0.036 0.151
C0F850 0.053 0.041 0.176
C0F860 0.065 0.048 0.209
C0F930 0.113 0.041 0.236
C0F970 0.169 0.040 0.290
C0F9A0 0.094 0.042 0.221
C0F9I0 0.041 0.027 0.122
C0F9K0 0.026 0.020 0.086
C0F9L0 0.066 0.023 0.134
C0F9M0 0.023 0.039 0.139
C0F9N0 0.050 0.023 0.119
C0F9O0 0.108 0.022 0.172
C0F9P0 0.157 0.039 0.273
C0F9Q0 0.030 0.022 0.097
C0F9R0 0.066 0.030 0.155
C0F9S0 0.042 0.036 0.151
C0F9T0 0.066 0.027 0.148
C0F9U0 0.086 0.051 0.240
C0F9V0 0.030 0.034 0.134
C0F9X0 0.129 0.065 0.323
C0F9Y0 0.048 0.032 0.144
C0F9Z0 0.119 0.052 0.276
C0FA00 0.026 0.025 0.101
C0G620 0.105 0.037 0.216
C0G640 0.117 0.046 0.255
C0G650 0.056 0.039 0.172
C0G660 0.123 0.070 0.334
C0G720 0.050 0.016 0.098
C0G730 0.071 0.029 0.158
C0G740 0.091 0.018 0.145
C0G750 0.098 0.053 0.258
C0G770 0.183 0.035 0.288
C0G780 0.027 0.024 0.100
C0G800 0.078 0.022 0.144
C0G810 0.076 0.026 0.154
C0G820 0.122 0.030 0.210
C0G830 0.033 0.044 0.166
C0G860 0.095 0.083 0.344
C0G870 0.100 0.056 0.267
C0G880 0.166 0.048 0.311
C0G890 0.141 0.055 0.307
C0G900 0.029 0.019 0.085
C0G910 0.021 0.016 0.068
C0H890 0.103 0.048 0.246
C0H950 0.093 0.041 0.215
C0H960 0.073 0.143 0.502
C0H990 0.063 0.027 0.143
C0H9A0 0.096 0.048 0.241
C0I010 0.093 0.022 0.161
C0I080 0.047 0.039 0.164
C0I090 0.047 0.026 0.124
C0I110 0.097 0.143 0.525
C0I360 0.091 0.062 0.276
C0I370 0.119 0.012 0.153
C0I380 0.104 0.043 0.234
C0I390 0.069 0.037 0.181
C0I410 0.096 0.019 0.154
C0I420 0.126 0.021 0.188
C0I460 0.072 0.032 0.167
C0I480 0.053 0.036 0.162
